ID	Image	Sent	Received	Height	Width	Country	City	Sender	Description	Tags	Images
20190104LV	2019_01_04 LV Dagnija.jpg	04.01.2019				LV	Riga	Dagnija			
20190115SE	2019_01_15 SE.jpg	15.01.2019		148	105	SE	Stockholm	Alex	Послал из Швеции, а купил на рождественском рынке в Риге.		
20190121SE	2019_01_21 SE.jpg	21.01.2019		105	148	SE	Stockholm	Alex	Послал из Швеции, а купил на рождественском рынке в Риге.		
20190125SE	2019_01_25 SE.jpg	25.01.2019		105	148	SE	Stockholm	Alex			
20190129SE	2019_01_29 SE.jpg	29.01.2019		105	148	SE	Stockholm	Alex			
20190201LV	2019_02_01 LV.jpg	01.02.2019	05.02.2019	105	148	SE	Stockholm	Alex	Шведская открытка, послана из Латвии		
20190205SE	2019_02_05 SE Lighthouse.jpg	05.02.2019	08.02.2019	105	148	SE	Stockholm	Alex	Послал из Швеции, а купил на рождественском рынке в Риге.		
20190205ES	2019_02_05 ES Tenerife.jpg	05.02.2019	12.02.2019	150	150	ES	Tenirife	VikaTi	Прислала с Тенирифе, где отдыхала		
20190213SE	2019_02_13 SE.jpg	13.02.2019	18.02.2019	105	148	SE	Stockholm	Alex			
20190216SE	2019_02_16 SE.jpg	16.02.2019	19.02.2019	105	148	SE	Stockholm	Alex			
20190220SE	2019_02_20 SE Notes and Heart.jpg	20.02.2019	25.02.2019	133	130	SE	Stockholm	Alex			
20190227SE	2019_02_27 SE.jpg	27.02.2019	04.03.2019	166	116	SE	Stockholm	Alex			
20190304SE	2019_03_04 SE Stones.jpg	04.03.2019	07.03.2019	167	117	SE	Stockholm	Alex			
20190308LV	2019_03_08 LV Beer Festival.jpg		08.03.2019	149	99	LV	Riga	I	Зашли в пивной магазин купить пива к праздничному столу и обнаружили эти рекламные открытки.	beer, advert	
20190311SE	2019_03_11 SE Sea Birds.jpg	11.03.2019	15.03.2019	133	130	SE	Stockholm	Alex			
20190314SE	2019_03_14 SE Woman day.jpg	14.03.2019	19.03.2019	180	130	SE	Stockholm	I	Ездила в командировку на чаепитие с женщинами ИТ. Так они в Швеции отмечают 8 марта. Чай пьют с конфетами, обсуждают что еще полезного можно сделать в сфере интергации женщин в ИТ процесс.	travel_poster_stockholm	
20190321LV	2019_03_22 LV Jekabpils.jpg	21.03.2019	22.03.2019	150	100	LV	Jekabpils	Aliona	Сестра прислала из командировки в Екабпилс.		
20190321SE	2019_03_21 SE.jpg	21.03.2019	25.03.2019	166	116	SE	Stockholm	Alex			
20190324LV	2019_03_24 LV Night Vansu titls.jpg	24.03.2019	26.03.2019	100	150	LV	Riga	Alex, I			
20190326SE	2019_03_26 SE Boat.jpg	26.03.2019	29.03.2019	166	116	SE	Stockholm	Alex			
20190331LV	2019_03_31 LV Map.jpg	31.03.2019	02.04.2019	120	170	LV	Riga	Alex, I	Объемная карта Латвии. Второй вариант, улучшенный и дополненный.	volume	
20190406LV	2019_04_06 LV Birthsday.jpg		06.04.2019	130	104	LV	Riga	Alex		pickmotion.com	
20190409SE	2019_04_09 SE Moose.jpg	09.04.2019	12.04.2019	180	130	SE	Stockholm	Alex	Лось на картнке, один из более чем 400 000 шведских лосей. Высота плеча взрослой особи более 2 метров, а вес около 850 кг.	travel_poster_stockholm	
20190416SE	2019_04_16 SE Branch Lake Swan.jpg	16.04.2019	23.04.2019	133	130	SE	Stockholm	Alex	Swan at Lake Genewa		
20190420GB	2019_04_20 GB Newcastle.jpg	20.04.2019	25.04.2019	104	147	GB	Newcastle	mother			
20190426GB	2019_04_26 GB Newcastle.jpg		26.04.2019	100	150	GB	Newcastle	mother	John Wilson Carmichael|Newcastle from St. Ann's.		
20190425LV	2019_04_25 LV Smiltene.jpg	25.04.2019	26.04.2019	105	150	LV	Smiltene	Aliona	В Смилтене выпускают хорошие открытки.		
20190423SE	2019_04_23 SE Glad Pask.jpg	23.04.2019	26.04.2019	166	115	SE	Stockholm	Alex		shape	
20190507SE	2019_05_07 SE Cows.jpg	07.05.2019	10.05.2019	166	116	SE	Kista	Alex			
20190516GB	2019_05_16 GB Amy Johnson.jpg		16.05.2019	105	148	GB	Kingston Upon Hall	mother	Э́ми Джо́нсон (1 июля 1903 — 5 января 1941) — женщина-пилот Великобритании, первая в мире женщина, совершившая одиночный перелёт из Англии в Австралию. Родилась в Халле.		
20190514SE	2019_05_14 SE Gamla Stan.jpg	14.05.2019	17.05.2019	180	130	SE	Kista	Alex		travel_poster_stockholm	
20190519AT	2019_05_19 AT Graz.jpg	19.05.2019	24.05.2019	104	147	AT	Graz	LudmilaViktor	Грац — город на юго-востоке Австрии на реке Муре, центр федеральной земли Штирия.		
20190520LV	2019_05_20 SE to Sweden.jpg	20.05.2019	24.05.2019	100	147	SE	Kista	Alex, I		airbaltic	
20190526LV	2019_05_26 LV Stretching Cat 1.jpg	26.05.2019	26.05.2019	97	147	LV	Riga	I	Открытка, которую можно сложить в фигурку кошки. Купила в магазине Alan Deco.|Производитель pukaca, Португалия.	volume	3
20190520IT	2019_05_20 IT Venezia.jpg	20.05.2019	03.06.2019	120	170	IT	Venice	LudmilaViktor	Прислали из поездки в Венецию		
20190521IT	2019_05_21 IT Vatican.jpg	21.05.2019	29.05.2019	170	120	IT	Vatican	LudmilaViktor			
20190524GB	2019_05_24 GB Voucher.jpg	24.05.2019	04.06.2019	148	104	GB	Kingston Upon Hall	mother	Скидочный ваучер пролежал у мамы в коробке с туфлями с 2012 года пока не был обнаружен и не послан мне в коллекцию.	voucher	
20190524AT	2019_05_24 AT Pyramidenkogel.jpg	24.05.2019	29.05.2019	148	104	AT		LudmilaViktor	Башня в Австрии которую посетили Людмила и Виктор		
20190524SE	2019_05_24 SE Stockholm.jpg	24.05.2019	29.05.2019	180	130	SE	Stockholm	I	Послала открытку из первой длинной командировки в Швецию	travel_poster_stockholm	
20190526LV2	2019_05_26 LV Sitting cat.jpg	26.05.2019	28.05.2019	97	147	LV	Riga	I	Открытка, которую можно сложить в фигурку кошки. Купила в магазине Alan Deco.|Производитель pukaca, Португалия.	volume	
20190601SE	2019_06_01 SE Skansen Lynx.jpg	01.06.2019	05.06.2019	105	150	SE	Stockholm	I	Посетила Скансен. Видела рысь. У нее такой коротенький хвостик!	museum	
20190601SE2	2019_06_01 SE Skansen Bizon.jpg	01.06.2019	05.06.2019	104	148	SE	Stockholm	I	В Скансене видела бизонов.	museum	
20190601SE3	2019_06_01 SE National museum interer.jpg	01.06.2019	05.06.2019	147	105	SE	Stockholm	I	Национальный художественный музей Стокгольма. Прямо в этом зале я и была и эту статую разглядывала. Кстати статуи в реальности оказались очень красивы.	museum	
20190601SE4	2019_06_01 SE National museum fasade.jpg	01.06.2019	05.06.2019	105	147	SE	Stockholm	I	Фасад Национального художественного музея в Стокгольме.	museum	
20190602SE	2019_06_02 SE Technic museum vintage.jpg	02.06.2019	05.06.2019	150	210	SE	Stockholm	I	Музей техники в Стокгольме.	museum	
