ID	Image	Sent	Received	Height	Width	Country	City	Sender	Description	Tags	Images	Origin country
20200102GB	2020_01_02 GB New year.jpg		02.01.2020	160	160	GB	Kingston Upon Hall	mother	Поздравление от мамы с Новым годом	new_year		
20200102RU	2020_01_02 RU Belolap.jpg	21.12.2019	02.01.2020	148	104	RU	Moscow	bought, JanaFrank	Купила набор открыток в магазине [belolap.ru|https://belolap.ru/]. Иллюстратор Яна Франк, большой любитель кошек, чей блог я давно читаю.			DE
20200102RU2	2020_01_02 RU Belolap 2.jpg	21.12.2019	02.01.2020	148	104	RU	Moscow	bought, JanaFrank	Купила набор открыток в магазине [belolap.ru|https://belolap.ru/]. Иллюстратор Яна Франк, большой любитель кошек, чей блог я давно читаю.			DE
20200102RU3	2020_01_02 RU Belolap 3.jpg	21.12.2019	02.01.2020	148	104	RU	Moscow	bought, JanaFrank	Купила набор открыток в магазине [belolap.ru|https://belolap.ru/]. Иллюстратор Яна Франк, большой любитель кошек, чей блог я давно читаю.			DE
20200107DE	2020_01_07 DE Jana Frank.jpg	27.12.2019	07.01.2020	104	148	DE	Berlin	JanaFrank	Когда покупала набор открыток в магазине [belolap.ru|https://belolap.ru/] в комментарии попросила прислать их по почте. Открытки пришли вместе с заказом и я подумала что комментарий не прочитали. А сегодня пришла эта открытка лично от Яны Франк по почте!			
20200108DE	2020_01_08 DE Jana Frank.jpg	27.12.2019	08.01.2020	148	104	DE	Berlin	JanaFrank	Эта открытка пришла на второй день после [20200107DE|предыдущей]. Чем доставила еще дополнительной радости.			
20200126LV	2020_01_26 LV Aivazovsky.jpg	26.01.2020	28.01.2020	105	150	LV	Riga	Alex, I	Посетили выставку маринистов в Рижской бирже. Видели эту картину.	museum		
20200126LV2	2020_01_26 LV Allegory of Air.jpg	26.01.2020	28.01.2020	105	150	LV	Riga	Alex, I	Посетили основную экспозицию в Рижской бирже. Внимание Саши привлекла эта картина, где нарисовано много разных птиц. Автор Ян ван Кессель Старший "Аллегория воздуха".	museum		
20200127GB	2020_01_31 GB Kingston upon Hull.jpg	27.01.2020	31.01.2020	147	104	GB	Kingston Upon Hall	mother	Открытка от мамы с милым английским двориком.|No 021 Ye Olde White Harte where one of the first overt acts of the Civil War was planned.			
20200127GB2	2020_01_31 GB Coffee.jpg	27.01.2020	31.01.2020	115	165	GB	Kingston Upon Hall	mother	Открытка от мымы.|Retro days. From an original design by Martin Wiscombe.			
20200117RU	2020_01_17 RU Lebedev.jpg	17.01.2020	03.02.2020	147	105	RU	Moscow	bought	Открытка из одной экспедиции Артемия Лебедева, где была возможность заказать открытку от иллюстратора экспедиции.|Открытка никак не подписана, поэтому я долго вспоминала что это и откуда, когда получила.			
20200203SE	2020_02_05 SE Garden.jpg	03.02.2020	05.02.2020	166	116	SE	Stockholm	Alex	Открытка от Саши из командировки. Зима нынче теплая, вот и открытка в тему, про садовые работы.			
20200206GB	2020_02_06 GB Boat.jpg		06.02.2020	114	164	GB	Kingston Upon Hall	mother				
20200227LV	2020_02_27 LV Smiltene 100.jpg		27.02.2020	107	148	LV	Smiltene	Aliona	Смилтене в этом году исполняется 100 лет. По этому поводу они и выпустили эту открытку, а сестра привезла мне ее из командировки.			
20200227LV2	2020_02_27 LV Smiltene 100 old.jpg		27.02.2020	107	148	LV	Smiltene	Aliona	Смилтене в этом году исполняется 100 лет. По этому поводу они и выпустили эту открытку, а сестра привезла мне ее из командировки.			
20200304GB	2020_03_04 GB Boats.jpg		04.03.2020	114	164	GB	Kingston Upon Hall	mother				
20200307LV	2020_03_07 LV Auduma maiss.jpg		07.03.2020	100	150	LV	Riga	Alex	Рекламная открытка о пользе тканевых мешков. Саша принес из раменной (Стабу 14).	advert		
20200307LV2	2020_03_07 LV Tele2.jpg		07.03.2020	150	100	LV	Riga	Alex	Рекламная открытка Tele 2. Саша принес из раменной (Стабу 14).	advert		
20200307LV3	2020_03_07 LV Coffee.jpg		07.03.2020	150	100	LV	Riga	Alex	Рекламная открытка Miit coffee. Саша принес из раменной (Стабу 14).	advert		
20200307LV4	2020_03_07 LV Miit coffee.jpg		07.03.2020	150	100	LV	Riga	Alex	Рекламная открытка Miit coffee. Саша принес из раменной (Стабу 14).	advert		
20200307LV5	2020_03_07 LV Airbaltic.jpg		07.03.2020	150	100	LV	Riga	Alex	Рекламная открытка Airbaltic. Саша принес из раменной (Стабу 14).	advert, airbaltic		
20200310LV	2020_03_10 LV Likums.jpg	07.03.2020	10.03.2020	150	100	LV	Riga	Alex	Рекламная открытка. Саша принес из раменной (Стабу 14).	advert		
20200401GB	2020_04_01 GB Woodpecker 1.jpg		01.04.2020	150	100	GB	Kingston Upon Hall	mother	Мама прислала замечательную деревянную открытку с дятлом.| Производство [www.TheWoodenPostcardCompany.com|https://www.thewoodenpostcardcompany.com/]	wood	2	
20200531LV	2020_05_31 LV Dobele.jpg	31.05.2020	31.05.2020	106	150	LV	Dobele	I	Бесплатная рекламная открытка из добельского парка сирени. Съездили с Молодыми, полюбовались на цветущую сирень.	advert		
20200606LV	2020_06_06 LV Jay.jpg	06.06.2020	06.06.2020	100	150	LV	Kuldiga	I	Привезла из поездки в Кулдигу. Купила в сувенирной лавке, где продавалось много интересных вещей латвийских мастеров и был продавец, который умеет предлагать.			
20200606LV	2020_06_06 LV Sams.jpg	06.06.2020	06.06.2020	100	150	LV	Kuldiga	I	Привезла из поездки в Кулдигу. Купила в сувенирной лавке, где продавалось много интересных вещей латвийских мастеров и был продавец, который умеет предлагать.			
20200611LV	2020_06_11 LV Ikea 1.jpg	11.06.2020	13.06.2020	180	130	LV	Riga	I	Набор из 8 открыток из IKEA.		8	
